,Region,Antagna 2020,Antagna 2021,Antagna 2022,Antagna 2023,Antagna 2024,log_Antagna 2024,log_Antagna 2023,log_Antagna 2022,log_Antagna 2021,log_Antagna 2020
0, Stockholms län,1521.0,1790.0,2316.0,4295.0,5376.0,8.589885876809678,8.3654396361887,7.748028524432376,7.490529402060711,7.3277805384216315
1, Västra Götalands län,1205.0,1208.0,1605.0,2630.0,3146.0,8.054204897064407,7.875119281040293,7.381501894506707,7.097548850614793,7.095064377287131
2, Skåne län,592.0,682.0,1008.0,1813.0,2189.0,7.691656822810547,7.503289630675082,6.9167150203536085,6.52649485957079,6.385194398997726
3, Uppsala län,121.0,198.0,302.0,505.0,605.0,6.406879986069314,6.226536669287466,5.713732805509369,5.293304824724492,4.804021044733257
4, Östergötlands län,143.0,195.0,280.0,411.0,570.0,6.3473892096560105,6.021023349349527,5.638354669333745,5.278114659230517,4.969813299576001
5, Hallands län,117.0,156.0,225.0,392.0,519.0,6.253828811575473,5.973809611869261,5.420534999272286,5.056245805348308,4.770684624465665
6, Södermanlands län,124.0,155.0,198.0,290.0,419.0,6.040254711277414,5.673323267171493,5.293304824724492,5.049856007249537,4.8283137373023015
7, Jönköpings län,106.0,132.0,187.0,343.0,418.0,6.037870919922137,5.840641657373398,5.236441962829949,4.890349128221754,4.672828834461906
8, Västmanlands län,104.0,136.0,203.0,321.0,399.0,5.991464547107982,5.7745515455444085,5.318119993844216,4.919980925828125,4.653960350157523
9, Örebro län,73.0,95.0,143.0,287.0,375.0,5.929589143389895,5.662960480135946,4.969813299576001,4.564348191467836,4.30406509320417
10, Dalarnas län,85.0,107.0,164.0,251.0,300.0,5.707110264748875,5.529429087511423,5.10594547390058,4.68213122712422,4.454347296253507
11, Gävleborgs län,71.0,100.0,133.0,210.0,300.0,5.707110264748875,5.351858133476067,4.897839799950911,4.61512051684126,4.276666119016055
12, Värmlands län,52.0,114.0,132.0,210.0,292.0,5.680172609017068,5.351858133476067,4.890349128221754,4.74493212836325,3.970291913552122
13, Västernorrlands län,66.0,97.0,94.0,196.0,249.0,5.521460917862246,5.2832037287379885,4.553876891600541,4.584967478670572,4.204692619390966
14, Kronobergs län,46.0,67.0,100.0,159.0,211.0,5.356586274672012,5.075173815233827,4.61512051684126,4.219507705176107,3.8501476017100584
15, Västerbottens län,53.0,53.0,108.0,183.0,208.0,5.342334251964811,5.214935757608986,4.6913478822291435,3.9889840465642745,3.9889840465642745
16, Kalmar län,122.0,117.0,78.0,181.0,204.0,5.3230099791384085,5.204006687076795,4.3694478524670215,4.770684624465665,4.812184355372417
17, Blekinge län,41.0,56.0,76.0,145.0,199.0,5.298317366548036,4.983606621708336,4.343805421853684,4.04305126783455,3.7376696182833684
18, Jämtlands län,33.0,40.0,54.0,111.0,192.0,5.262690188904886,4.718498871295094,4.007333185232471,3.713572066704308,3.5263605246161616
19, Norrbottens län,37.0,64.0,96.0,161.0,190.0,5.25227342804663,5.087596335232384,4.574710978503383,4.174387269895637,3.6375861597263857
20, Gotlands län,26.0,29.0,40.0,60.0,60.0,4.110873864173311,4.110873864173311,3.713572066704308,3.4011973816621555,3.295836866004329
